s001	highly persuasive	This paper develops an information-sensitive theory of the semantics and probability of conditionals and statements involving epistemic modals. The theory validates a number of principles linking probability and modality, including the principle that the probability of a conditional If A, then C equals the probability of C, updated with A. The theory avoids so-called triviality results, which are standardly taken to show that principles of this sort cannot be validated. To achieve this, we deny that rational agents update their credences via conditionalization. We offer a new rule of update, Hyperconditionalization, which agrees with Conditionalization whenever nonmodal statements are at stake but differs for modal and conditional sentences.
s002	moderate	This paper addresses two questions: first, when making decisions about what to do, does the mere fact that we will feel regretful or guilty or proud afterward give us reason to act? I argue that these emotions of self-assessment give us little or no reason to act. The second question concerns emotional valence — how desirable or undesirable our emotions are. What is it that determines the valence of an emotion like regret? I argue that the valence of emotions, and indeed of feelings like pain more broadly, is a function of the sensations they involve. As I suggest, understanding the point about emotional valence helps us answer the first question about anticipated emotions. The paper concludes with a discussion of death-bed regrets, and of whether teenagers should listen to their annoying parents.
s003	persuasive	Moral philosophers of late have been examining the implications of experimental social psychology for ethics. The focus of attention has been on situationism—the thesis that we routinely underestimate the extent to which minor situational variables influence morally significant behavior. Situationism has been seen as a threat to prevailing lay and philosophical theories of character, personhood, and agency. In this paper, I outline the situationist literature and critique one of its upshots: the admonition to carefully select one’s situational contexts. Besides being limited in application, this strategy accentuates an untenable person/situation dichotomy. The deeper lesson of situationism lies in highlighting the interconnectedness of all social behavior—how we are inextricably involved in the actions of others, and how minor tweaks in our own behavior can lead to major payoffs in our moral lives. Situationism is better seen as an opportunity for moral progress than a threat to individual autonomy.
s004	moderate	There is a wide consensus among scholars that Plato’s Socrates is wrong to trust in reason and argument as capable of converting people to the life of philosophy. In this paper, I argue for the opposite. I show that Socrates employs a more sophisticated strategy than is typically supposed. Its key component is the use of philosophical argument not to lead an interlocutor to rationally conclude that he must change his way of life but rather to cause a certain affective experience, one that can be effective at changing his beliefs about how best to live.
s005	highly persuasive	Choice is one of the central elements in the experience of free will, but it has not received a good account from either compatibilists or libertarians. This paper develops an account of choice based around three features: (i) choice is an action; (ii) choice is not determined by one's prior beliefs and desires; (iii) once the question of what to do has arisen, choice is typically both necessary and sufficient for moving to action. These features might appear to support a libertarian account, but they do not. Instead it is argued that all three features can be accommodated within a compatibilist account, where choice is needed because of agents' inabilities to arrive at judgements about what is best. Choice differs though from random picking: in choosing, agents frequently (though not always) deploy abilities that enable them to make good choices. In such cases, judgements about what is best will frequently follow the choice. Finally, choice is distinguished from agency and, on the basis of the distinction, the claim that choice is an action is made good.
s006	highly persuasive	In this paper, I develop an essentialist model of the semantics of slurs. I defend the view that slurs are a species of kind terms: Slur concepts encode mini-theories which represent an essence-like element that is causally connected to a set of negatively-valenced stereotypical features of a social group. The truth-conditional contribution of slur nouns can then be captured by the following schema: For a given slur S of a social group G and a person P, S is true of P iff P bears the “essence” of G—whatever this essence is—which is causally responsible for stereotypical negative features associated with G and predicted of P. Since there is no essence that is causally responsible for stereotypical negative features of a social group, slurs have null-extension, and consequently, many sentences containing them are either meaningless or false. After giving a detailed outline of my theory, I show that it receives strong linguistic support. In particular, it can account for a wide range of linguistic cases that are regarded as challenging, central data for any theory of slurs. Finally, I show that my theory also receives convergent support from cognitive psychology and psycholinguistics.
s007	highly persuasive	Marguerite Clark as Topsy in Uncle Tom’s Cabin (1918). Charlton Heston as Ramon Miguel Vargas in Touch of Evil (1958). Mizuo Peck as Sacagawea in Night at the Museum (2006). From the early days of cinema to its classic-era through to the contemporary Hollywood age, the history of cinema is replete with films in which the racial (or ethnic) background of a principal character does not match the background of the actor or actress portraying that character. I call this actor-character race-mismatching. In this paper, I mainly explore whether a coherent and plausible account can be given of race-matching in terms of purely aesthetic considerations, i.e., an account that absent moral considerations can nevertheless coherently and productively answer the following questions: can race-mismatching itself ever be an aesthetic defect of a film, and if so, under what conditions can race-mismatching be such an aesthetic defect. I claim that once we have in place a precise account of the nature of race-matching, it becomes clear that films for which race-mismatching appears to constitute an aesthetic defect are actually films with which properly engaging requires audiences to satisfy inconsistent epistemic conditions. In such cases, I claim, race mismatching constitutes an aesthetic defect for the film-fiction because—in virtue of the inconsistency underwritten by the race-mismatching—that film-fiction undermines the very uptake it prescribes. I then argue that if what’s defective about race-mismatching aesthetically is predicated on something being defective about race-mismatching epistemically, then if there is nothing in principle defective about race-mismatching epistemically, then so too for mismatching aesthetically (and so too for mismatching morally). From this I conclude that reasons stemming only from race-matching/mismatching itself lack the normative force sufficient to warrant the claim that film-fictions ought not race-mismatch.
s008	moderate	In the first Critique, Kant says, "[A]ll the actions of a human being are determined in accord with the order of nature, " adding that "if we could investigate all the appearances . . . there would be no human action we could not predict with certainty. " Most Kantian treatments of human action discuss action from a practical perspective, according to which human beings are transcendentally free, and thus do not sufficiently lay out this Kant's empirical, causal description of human action. Drawing on Kant's lectures in empirical psychology and his anthropological writings, this paper offers a clear and detailed elucidation of Kant's empirical account of human action. After explaining the connection between cognitions, feelings, desires, and actions, I show how the lower faculty of desire is governed by various instincts, inclinations, and propensities, and how the higher faculty of desire is governed by (empirical) character. I also discuss how character and inclinations arise from natural human propensities combined with other empirical causes. By looking at both Kant's faculty psychology and his account of predispositions, I lay out an overall Kantian framework for explaining any kind of human action.
s009	weakly persuasive	I present a challenge to epistemological pragmatic encroachment theories from epistemic injustice. The challenge invokes the idea that a knowing subject may be wronged by being regarded as lacking knowledge due to social identity prejudices. However, in an important class of such cases, pragmatic encroachers appear to be committed to the view that the subject does not know. Hence, pragmatic encroachment theories appear to be incapable of accounting for an important type of injustice – namely, discriminatory epistemic injustice. Consequently, pragmatic encroachment theories run the risk of obscuring or even sanctioning epistemically unjust judgments that arise due to problematic social stereotypes or unjust folk epistemological biases. In contrast, the epistemological view that rejects pragmatic encroachment – namely, strict purist invariantism – is capable of straightforwardly diagnosing the cases of discriminatory epistemic injustice as such. While the challenge is not a conclusive one, it calls for a response. Moreover, it illuminates very different conceptions of epistemology’s role in mitigating epistemic injustice.
s010	persuasive	An approach to explaining the nature and source of logic and its laws with a rich historical tradition (particularly Kant and Frege) takes the laws of logic to be laws of thought. This view seems intuitively compelling, after all, logic seems to be intimately related with how we think. But how exactly should we understand it? And what arguments can we give in favour? I will propose one line of argument for the claim that the laws of logic are laws of thought. I will motivate the claim that there is a certain phenomenon, namely, that there are logical principles which are immune to rational doubt. I will then give an argument to the best explanation; I will argue that the best explanation of this phenomenon is to take the laws of logic to be constitutive-normative laws of thought. The proposal, and some responses to potential objections, will have a notably Kantian flavour. 
